TournamentName,Team1,Team2,Date,Score,City,StateCountry,GameId
2016 She Believes Cup,Germany,France,3/3/16,1-0,Tampa,Florida,N/A
2016 She Believes Cup,United States,England,3/3/16,1-0,Tampa,Florida,shebelieves-cup-2016-usa-eng-030316
2016 She Believes Cup,United States,France,3/6/19,1-0,Nashville,Tennessee,shebelieves-cup-2016-usa-fra-030616
2016 She Believes Cup,Germany,England,3/6/19,2-1,Nashville,Tennessee,shebelieves-cup-2016-eng-ger-030616
2016 She Believes Cup,France,England,3/9/16,0-0,Boca Raton,Florida,shebelieves-cup-2016-usa-ger-030916.
2016 She Believes Cup,United States,Germany,3/9/16,2-1,Boca Raton,Florida,shebelieves-cup-2016-usa-ger-030916
2016 Olympics,Sweden,South Africa,8/3/16,1-0,Rio de Janeiro,Brazil,N/A
2016 Olympics,Brazil,China,8/3/16,3-0,Rio de Janeiro,Brazil,N/A
2016 Olympics,Canada,Australia,8/3/16,2-0,Sao Paulo,Brazil,N/A
2016 Olympics,Zimbabwe,Germany,8/3/16,1-6,Sao Paulo,Brazil,N/A
2016 Olympics,United States,New Zealand,8/3/16,2-0,Mineirao,Brazil,2016-olympics-usa-nzl-080316
2016 Olympics,France,Colombia,8/3/16,4-0,Mineirao,Brazil,N/A
2016 Olympics,South Africa,China,8/6/16,0-2,Rio de Janeiro,Brazil,N/A
2016 Olympics,Brazil,Sweden,8/6/16,5-1,Rio de Janeiro,Brazil,N/A
2016 Olympics,Canada,Zimbabwe,8/6/16,3-1,Sao Paulo,Brazil,N/A
2016 Olympics,Germany,Australia,8/6/16,2-2,Sao Paulo,Brazil,N/A
2016 Olympics,United States,France,8/6/16,1-0,Mineirao,Brazil,2016-olympics-usa-fra-080616
2016 Olympics,Colombia,New Zealand,8/6/16,0-1,Mineirao,Brazil,N/A
2016 Olympics,South Africa,Brazil,8/9/16,0-0,Manaus,Brazil,N/A
2016 Olympics,China,Sweden,8/9/16,0-0,Brasilia,Brazil,N/A
2016 Olympics,Australia,Zimbabwe,8/9/16,6-1,Salvador,Brazil,N/A
2016 Olympics,Germany,Canada,8/9/16,1-2,Brasilia,Brazil,N/A
2016 Olympics,Colombia,United States,8/9/16,2-2,Manaus,Brazil,2016-olympics-usa-col-080916
2016 Olympics,New Zealand,France,8/9/16,0-3,Salvador,Brazil,N/A
2016 Olympics,United States,Sweden,8/12/16,1-1 (3-4 PKs),Brasilia,Brazil,2016-olympics-usa-swe-081216
2016 Olympics,China,Germany,8/12/16,0-1,Salvador,Brazil,N/A
2016 Olympics,Canada,France,8/12/16,1-0,Sao Paulo,Brazil,N/A
2016 Olympics,Brazil,Australia,8/12/16,0-0 (7-6 PKs),Mineirao,Brazil,N/A
2016 Olympics,Brazil,Sweden,8/16/16,0-0 (3-4 PKs),Rio de Janeiro,Brazil,N/A
2016 Olympics,Canada,Germany,8/16/16,0-2,Mineirao,Brazil,N/A
2016 Olympics,Brazil,Canada,8/19/16,1-2,Sao Paulo,Brazil,N/A
2016 Olympics,Sweden,Germany,8/19/16,1-2,Rio de Janeiro,Brazil,N/A
2016 International Friendlies,United States,Ireland,1/23/16,5-0,San Diego,California,2016-international-friendly-usa-irl-0123116
2016 International Friendlies,United States,Colombia,4/6/16,7-0,East Hartford,Connecticut,2016-international-friendly-usa-col-040616
2016 International Friendlies,United States,Colombia,4/10/16,3-0,Chester,Pennsylvania,2016-international-friendly-usa-col-041016
2016 International Friendlies,United States,Japan,6/2/16,3-3,Commerce City,Colorado,2016-international-friendly-usa-jpn-060216
2016 International Friendlies,United States,Japan,6/5/16,2-0,Cleveland,Ohio,2016-international-friendly-usa-jpn-060516
2016 International Friendlies,United States,South Africa,7/9/16,1-0,Chicago,Illinois,2016-international-friendly-usa-rsa-070916
2016 International Friendlies,United States,Costa Rica,7/22/16,4-0,Kansas City,Kansas,2016-international-friendly-usa-crc-072216
2016 International Friendlies,United States,Switzerland,10/19/16,4-0,Sandy,Utah,2016-international-friendly-usa-sui-101916
2016 International Friendlies,United States,Switzerland,10/23/16,5-1,Minneapolis,Minnesota,2016-international-friendly-usa-sui-102316
2016 NWSL,Washington Spirit,Boston Breakers,4/16/16,1-0,Boyds,Maryland,nwsl-2016-was-bos-041616
2016 NWSL,Houston Dash,Chicago Red Stars,4/16/16,3-1,Houston,Texas,nwsl-2016-hou-crs-041616
2016 NWSL,FC Kansas City,Western New York Flash,4/16/16,0-1,Kansas City,Kansas,nwsl-2016-fckc-wnyf-041616
2016 NWSL,Seattle Reign,Sky Blue FC,4/17/16,1-2,Seattle,Washington,nwsl-2016-srfc-sbfc-041716
2016 NWSL,Portland Thorns FC,Orlando Pride,4/17/16,2-1,Portland,Oregon,nwsl-2016-ptfc-orl-041716
2016 NWSL,Chicago Red Stars,Western New York Flash,4/23/16,1-0,Chicago,Illinois,nwsl-2016-crs-wnyf-042316
2016 NWSL,Orlando Pride,Houston Dash,4/23/16,3-1,Orlando,Florida,nwsl-2016-orl-hou-042316
2016 NWSL,FC Kansas City,Portland Thorns FC,4/23/16,1-1,Kansas City,Kansas,nwsl-2016-fckc-ptfc-042316
2016 NWSL,Sky Blue FC,Washington Spirit,4/24/16,1-2,Piscataway,New Jersey,nwsl-2016-sbfc-was-042416
2016 NWSL,Boston Breakers,Seattle Reign,4/24/16,0-3,Boston,Massachusetts,nwsl-2016-bos-srfc-042416
2016 NWSL,Western New York Flash,Washington Spirit,4/29/16,0-3,Rochester,New York,nwsl-2016-wnyf-was-042916
2016 NWSL,Houston Dash,Sky Blue FC,4/29/16,0-0,Houston,Texas,nwsl-2016-hou-sbfc-042916
2016 NWSL,Boston Breakers,Portland Thorns FC,5/1/16,0-1,Boston,Massachusetts,nwsl-2016-bos-ptfc-050116
2016 NWSL,Chicago Red Stars,Orlando Pride,5/1/16,1-0,Chicago,Illinois,nwsl-2016-crs-orl-050116
2016 NWSL,Seattle Reign,FC Kansas City,5/1/16,1-0,Seattle,Washington,nwsl-2016-srfc-fckc-050116
2016 NWSL,Boston Breakers,Chicago Red Stars,5/7/16,0-1,Boston,Massachusetts,nwsl-2016-bos-crs-050716
2016 NWSL,Washington Spirit,Portland Thorns FC,5/7/16,0-0,Boyds,Maryland,nwsl-2016-was-ptfc-050716
2016 NWSL,Sky Blue FC,Western New York Flash,5/7/16,1-2,Piscataway,New Jersey,nwsl-2016-sbfc-wnyf-050716
2016 NWSL,FC Kansas City,Houston Dash,5/7/16,1-2,Kansas City,Kansas,nwsl-2016-fckc-hou-050716
2016 NWSL,Orlando Pride,Seattle Reign,5/8/16,2-0,Orlando,Florida,nwsl-2016-orl-srfc-050816
2016 NWSL,Sky Blue FC,Boston Breakers,5/13/16,1-0,Piscataway,New Jersey,nwsl-2016-sbfc-bos-051316
2016 NWSL,FC Kansas City,Chicago Red Stars,5/13/16,0-0,Kansas City,Kansas,nwsl-2016-fckc-crs-051316
2016 NWSL,Washington Spirit,Houston Dash,5/14/16,1-0,Boyds,Maryland,nwsl-2016-was-hou-051416
2016 NWSL,Orlando Pride,Western New York Flash,5/14/16,1-0,Orlando,Florida,nwsl-2016-orl-wnyf-051416
2016 NWSL,Seattle Reign,Portland Thorns FC,5/14/16,1-1,Seattle,Washington,nwsl-2016-srfc-ptfc-051416
2016 NWSL,Houston Dash,Orlando Pride,5/20/16,0-1,Houston,Texas,nwsl-2016-hou-orl-052016
2016 NWSL,Western New York Flash,Sky Blue FC,5/21/16,5-2,Rochester,New York,nwsl-2016-wnyf-sbfc-052116
2016 NWSL,Portland Thorns FC,Washington Spirit,5/21/16,4-1,Portland,Oregon,nwsl-2016-ptfc-was-052116
2016 NWSL,Boston Breakers,FC Kansas City,5/22/16,1-0,Boston,Massachusetts,nwsl-2016-bos-fckc-052216
2016 NWSL,Seattle Reign,Chicago Red Stars,5/22/16,1-2,Seattle,Washington,nwsl-2016-srfc-crs-052216
2016 NWSL,Western New York Flash,Boston Breakers,5/27/16,4-0,Rochester,New York,nwsl-2016-wnyf-bos-052716
